CODE_EINDEUTIG,NAME,X_LV95,Y_LV95,Z,STATUS,GIN,ALARM,EINZUGSGEBIETSGROESSE,MITTLERE_HOEHE,VERGLETSCHERUNG,GEWAESSERNAME,FLUSSSYSTEM,GEWAESSERTYP,ORTSBEZEICHNUNG,ORGANISATION,LINK,URL_STATIONSSEITE,SYSTEM_U,PARAMETER_W,PARAMETER_T,PARAMETER_N,PERIODIZITAET_W,EINHEIT_W,EINHEIT_Q,PERIODIZITAET_T,EINHEIT_T,PERIODIZITAET_N,EINHEIT_N,PUBL_W,PUBL_T,PUBL_N,GUELTIG_VON_W,GUELTIG_VON_T,GUELTIG_VON_N,GUELTIG_BIS_W,GUELTIG_BIS_T,GUELTIG_BIS_N,SYSTEM_W,SYSTEM_T,ORGANISATION_SYMB,PARAMETER_W_SYMB,PARAMETER_T_SYMB,PARAMETER_N_SYMB,SYMBOL,PROGNOSESTATION,E,N
2099,Limmat - Unterhard,2682055,1249430,400,,,nein,2174,1194,0.8%,,,,,BAFU,https://hochwasser.zh.ch,https://www.hydrodaten.admin.ch/de/2099.html,,Abfluss,,,,,,,,,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html,,,,,,,,,,,0,1,0,0,1,1,2682055,1249430
2176,Sihl - Sihlhölzli,2682145,1246890,413,,,nein,343,1045,,,,,,BAFU,https://hochwasser.zh.ch,https://www.hydrodaten.admin.ch/de/2176.html,,Abfluss,,,,,,,,,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html,,,,,,,,,,,0,1,0,0,1,1,2682145,1246890
2209,Zürichsee - Zürichhorn,2684000,1245475,406,,,nein,1825,1224,0.9%,,,,,BAFU,https://hochwasser.zh.ch,https://www.hydrodaten.admin.ch/de/2209.html,,Wasserstand,,,,,,,,,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html,,,,,,,,,,,0,2,0,0,2,1,2684000,1245475
SMA,Zürich / Fluntern,2685117,1248066,556,,,nein,,,,,,,,MeteoSchweiz,https://hochwasser.zh.ch,https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-niederschlag-10min&station=SMA,,,,Niederschlag,,,,,,,,,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/niederschlag.html,,,,,,,,,0,0,0,1,9,,2685117,1248066
ZH 577,"Sihl - Sihlhölzli, Zürich",2682202,1246948,413,in Betrieb,,nein,343,1045,0.0%,Sihl,Sihl,Fliessgewässer,Zürich,AWEL,https://hydrometrie.zh.ch,,,,Temperatur,,,,,10,°C,,,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/wassertemperaturen.html,,,19860101,,,,,,pt100,1,0,1,0,8,,2682202,1246948
ZH 578,"Limmat - Letten, Zürich",2682502,1249129,406,in Betrieb,,nein,2176,572.18,0.0%,Limmat,Limmat,Fliessgewässer,Zürich,BAFU,https://hydrometrie.zh.ch,,,,Temperatur,,,,,10,°C,,,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/wassertemperaturen.html,,,19890101,,,,,,pt100,0,0,1,0,8,,2682502,1249129
ZH 578L,Limmattalalarm,2682502,1249129,406,,,ja,,,,,,,,AWEL,https://hochwasser.zh.ch,,,Abfluss,,,,,,,,,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html,,,,,,,,,,,0,1,0,0,1,,2682502,1249129
REH,Zürich / Affoltern,2681428,1253546,444,,,nein,,,,,,,,MeteoSchweiz,https://hochwasser.zh.ch,https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-niederschlag-10min&station=REH,,,,Niederschlag,,,,,,,,,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/niederschlag.html,,,,,,,,,0,0,0,1,9,,2681428,1253546
,Limmat - Platzspitz,,,,,,nein,,,,Limmat,Limmat,Fliessgewässer,Zürich,AWEL,https://hochwasser.zh.ch,,,Wasserstand,,,,,,,,,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html,,,,,,,,,,,1,2,0,0,2,,2683145,1248494.878
ZH 607,"Sihl - Mattensteg, Zürich",2683049,1248486,402,in Betrieb,,nein,,,0.0%,Sihl,Sihl,Fliessgewässer,Zürich,AWEL,https://hydrometrie.zh.ch,,,Wasserstand,,,10,müM,,,,,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html,,,,,,,,,,,1,2,0,0,2,,2683049,1248486
