Date,Flow (m³/s)
2021-01-01,62.9
2021-02-01,205.0
2021-03-01,78.0
2021-04-01,65.9
2021-05-01,73.8
2021-06-01,91.1
2021-07-01,179.0
2021-08-01,271.0
2021-09-01,142.0
2021-10-01,63.2
2021-11-01,42.5
2021-12-01,42.8
2021-01-02,59.3
2021-02-02,197.0
2021-03-02,72.5
2021-04-02,65.5
2021-05-02,99.1
2021-06-02,92.2
2021-07-02,162.0
2021-08-02,247.0
2021-09-02,126.0
2021-10-02,62.6
2021-11-02,42.6
2021-12-02,46.6
2021-01-03,52.1
2021-02-03,193.0
2021-03-03,72.5
2021-04-03,65.3
2021-05-03,105.0
2021-06-03,92.1
2021-07-03,145.0
2021-08-03,225.0
2021-09-03,126.0
2021-10-03,52.1
2021-11-03,42.2
2021-12-03,43.9
2021-01-04,52.3
2021-02-04,192.0
2021-03-04,81.7
2021-04-04,62.9
2021-05-04,91.8
2021-06-04,101.0
2021-07-04,127.0
2021-08-04,206.0
2021-09-04,119.0
2021-10-04,43.9
2021-11-04,43.3
2021-12-04,56.5
2021-01-05,52.1
2021-02-05,178.0
2021-03-05,83.5
2021-04-05,57.2
2021-05-05,80.4
2021-06-05,102.0
2021-07-05,140.0
2021-08-05,210.0
2021-09-05,105.0
2021-10-05,45.0
2021-11-05,43.0
2021-12-05,83.9
2021-01-06,52.2
2021-02-06,157.0
2021-03-06,83.2
2021-04-06,55.2
2021-05-06,89.1
2021-06-06,124.0
2021-07-06,128.0
2021-08-06,229.0
2021-09-06,105.0
2021-10-06,55.4
2021-11-06,42.4
2021-12-06,73.0
2021-01-07,54.9
2021-02-07,139.0
2021-03-07,74.5
2021-04-07,63.1
2021-05-07,110.0
2021-06-07,155.0
2021-07-07,166.0
2021-08-07,193.0
2021-09-07,105.0
2021-10-07,53.7
2021-11-07,42.2
2021-12-07,64.9
2021-01-08,62.7
2021-02-08,135.0
2021-03-08,72.2
2021-04-08,72.1
2021-05-08,110.0
2021-06-08,215.0
2021-07-08,213.0
2021-08-08,202.0
2021-09-08,105.0
2021-10-08,53.1
2021-11-08,42.3
2021-12-08,67.5
2021-01-09,62.3
2021-02-09,130.0
2021-03-09,72.1
2021-04-09,72.5
2021-05-09,90.5
2021-06-09,194.0
2021-07-09,316.0
2021-08-09,173.0
2021-09-09,105.0
2021-10-09,52.6
2021-11-09,42.2
2021-12-09,84.3
2021-01-10,57.9
2021-02-10,121.0
2021-03-10,71.8
2021-04-10,74.7
2021-05-10,81.4
2021-06-10,189.0
2021-07-10,265.0
2021-08-10,149.0
2021-09-10,105.0
2021-10-10,43.3
2021-11-10,42.1
2021-12-10,79.5
2021-01-11,52.0
2021-02-11,107.0
2021-03-11,69.6
2021-04-11,73.8
2021-05-11,81.9
2021-06-11,167.0
2021-07-11,310.0
2021-08-11,150.0
2021-09-11,105.0
2021-10-11,40.6
2021-11-11,42.4
2021-12-11,70.4
2021-01-12,52.1
2021-02-12,106.0
2021-03-12,65.4
2021-04-12,68.1
2021-05-12,121.0
2021-06-12,162.0
2021-07-12,275.0
2021-08-12,134.0
2021-09-12,97.0
2021-10-12,40.5
2021-11-12,41.7
2021-12-12,58.3
2021-01-13,57.0
2021-02-13,105.0
2021-03-13,63.0
2021-04-13,74.0
2021-05-13,125.0
2021-06-13,142.0
2021-07-13,331.0
2021-08-13,129.0
2021-09-13,94.6
2021-10-13,44.3
2021-11-13,41.9
2021-12-13,53.4
2021-01-14,102.0
2021-02-14,99.4
2021-03-14,63.7
2021-04-14,73.5
2021-05-14,125.0
2021-06-14,142.0
2021-07-14,439.0
2021-08-14,126.0
2021-09-14,87.7
2021-10-14,42.1
2021-11-14,42.5
2021-12-14,53.3
2021-01-15,130.0
2021-02-15,94.5
2021-03-15,74.6
2021-04-15,72.6
2021-05-15,110.0
2021-06-15,124.0
2021-07-15,362.0
2021-08-15,112.0
2021-09-15,84.0
2021-10-15,40.4
2021-11-15,41.8
2021-12-15,53.8
2021-01-16,119.0
2021-02-16,90.2
2021-03-16,85.3
2021-04-16,70.7
2021-05-16,116.0
2021-06-16,122.0
2021-07-16,366.0
2021-08-16,163.0
2021-09-16,84.3
2021-10-16,40.3
2021-11-16,41.8
2021-12-16,62.7
2021-01-17,94.7
2021-02-17,91.1
2021-03-17,86.8
2021-04-17,62.0
2021-05-17,139.0
2021-06-17,134.0
2021-07-17,339.0
2021-08-17,201.0
2021-09-17,98.8
2021-10-17,40.2
2021-11-17,41.8
2021-12-17,63.8
2021-01-18,76.2
2021-02-18,88.9
2021-03-18,94.1
2021-04-18,62.0
2021-05-18,128.0
2021-06-18,142.0
2021-07-18,338.0
2021-08-18,150.0
2021-09-18,94.7
2021-10-18,49.0
2021-11-18,41.8
2021-12-18,55.1
2021-01-19,73.7
2021-02-19,85.3
2021-03-19,92.6
2021-04-19,61.9
2021-05-19,148.0
2021-06-19,151.0
2021-07-19,323.0
2021-08-19,128.0
2021-09-19,88.4
2021-10-19,62.3
2021-11-19,42.0
2021-12-19,49.3
2021-01-20,73.2
2021-02-20,85.2
2021-03-20,83.3
2021-04-20,61.8
2021-05-20,153.0
2021-06-20,142.0
2021-07-20,310.0
2021-08-20,113.0
2021-09-20,90.0
2021-10-20,52.7
2021-11-20,41.9
2021-12-20,42.7
2021-01-21,64.3
2021-02-21,85.1
2021-03-21,75.0
2021-04-21,55.8
2021-05-21,150.0
2021-06-21,142.0
2021-07-21,297.0
2021-08-21,106.0
2021-09-21,85.1
2021-10-21,46.9
2021-11-21,41.7
2021-12-21,42.5
2021-01-22,65.6
2021-02-22,80.0
2021-03-22,65.4
2021-04-22,52.9
2021-05-22,164.0
2021-06-22,145.0
2021-07-22,284.0
2021-08-22,112.0
2021-09-22,84.0
2021-10-22,43.5
2021-11-22,42.0
2021-12-22,51.1
2021-01-23,74.2
2021-02-23,74.7
2021-03-23,62.1
2021-04-23,55.9
2021-05-23,157.0
2021-06-23,135.0
2021-07-23,270.0
2021-08-23,173.0
2021-09-23,76.5
2021-10-23,42.0
2021-11-23,41.9
2021-12-23,53.0
2021-01-24,76.2
2021-02-24,75.0
2021-03-24,62.3
2021-04-24,51.9
2021-05-24,133.0
2021-06-24,123.0
2021-07-24,257.0
2021-08-24,131.0
2021-09-24,73.5
2021-10-24,42.0
2021-11-24,41.8
2021-12-24,52.9
2021-01-25,74.8
2021-02-25,75.8
2021-03-25,63.1
2021-04-25,48.1
2021-05-25,110.0
2021-06-25,142.0
2021-07-25,266.0
2021-08-25,116.0
2021-09-25,73.5
2021-10-25,42.3
2021-11-25,41.7
2021-12-25,50.6
2021-01-26,69.5
2021-02-26,77.7
2021-03-26,65.1
2021-04-26,42.0
2021-05-26,104.0
2021-06-26,131.0
2021-07-26,262.0
2021-08-26,106.0
2021-09-26,73.3
2021-10-26,41.9
2021-11-26,41.9
2021-12-26,72.1
2021-01-27,63.8
2021-02-27,84.8
2021-03-27,71.0
2021-04-27,47.4
2021-05-27,101.0
2021-06-27,118.0
2021-07-27,249.0
2021-08-27,106.0
2021-09-27,64.1
2021-10-27,41.8
2021-11-27,42.0
2021-12-27,94.9
2021-01-28,90.6
2021-02-28,84.0
2021-03-28,68.2
2021-04-28,55.4
2021-05-28,106.0
2021-06-28,104.0
2021-07-28,235.0
2021-08-28,106.0
2021-09-28,63.4
2021-10-28,41.5
2021-11-28,42.0
2021-12-28,86.3
2021-01-29,175.0
2021-03-29,61.7
2021-04-29,69.6
2021-05-29,103.0
2021-06-29,150.0
2021-07-29,185.0
2021-08-29,106.0
2021-09-29,63.6
2021-10-29,41.4
2021-11-29,42.0
2021-12-29,103.0
2021-01-30,216.0
2021-03-30,55.6
2021-04-30,72.6
2021-05-30,97.6
2021-06-30,199.0
2021-07-30,158.0
2021-08-30,123.0
2021-09-30,63.4
2021-10-30,41.5
2021-11-30,42.1
2021-12-30,158.0
2021-01-31,219.0
