Date,Temperature (°C)
2021-01-01,6.7
2021-01-02,6.6
2021-01-03,6.5
2021-01-04,6.4
2021-01-05,6.3
2021-01-06,6.2
2021-01-07,6.2
2021-01-08,6.2
2021-01-09,6.0
2021-01-10,5.9
2021-01-11,5.8
2021-01-12,5.7
2021-01-13,5.7
2021-01-14,5.6
2021-01-15,5.5
2021-01-16,5.4
2021-01-17,5.4
2021-01-18,5.4
2021-01-19,5.4
2021-01-20,5.4
2021-01-21,5.4
2021-01-22,5.5
2021-01-23,5.5
2021-01-24,5.4
2021-01-25,5.3
2021-01-26,5.2
2021-01-27,5.1
2021-01-28,5.2
2021-01-29,5.4
2021-01-30,5.4
2021-01-31,5.5
2021-02-01,5.5
2021-02-02,5.6
2021-02-03,5.6
2021-02-04,5.6
2021-02-05,5.6
2021-02-06,5.6
2021-02-07,5.6
2021-02-08,5.5
2021-02-09,5.4
2021-02-10,5.3
2021-02-11,5.1
2021-02-12,4.9
2021-02-13,4.8
2021-02-14,4.6
2021-02-15,4.6
2021-02-16,4.7
2021-02-17,5.0
2021-02-18,5.1
2021-02-19,5.3
2021-02-20,5.4
2021-02-21,5.5
2021-02-22,5.5
2021-02-23,5.5
2021-02-24,5.7
2021-02-25,6.0
2021-02-26,6.2
2021-02-27,5.4
2021-02-28,5.2
2021-03-01,5.4
2021-03-02,5.6
2021-03-03,5.8
2021-03-04,6.0
2021-03-05,5.9
2021-03-06,5.6
2021-03-07,5.6
2021-03-08,5.6
2021-03-09,5.4
2021-03-10,5.7
2021-03-11,6.1
2021-03-12,6.0
2021-03-13,5.9
2021-03-14,5.7
2021-03-15,5.5
2021-03-16,5.3
2021-03-17,5.2
2021-03-18,5.2
2021-03-19,5.2
2021-03-20,5.3
2021-03-21,5.3
2021-03-22,5.4
2021-03-23,5.5
2021-03-24,5.9
2021-03-25,6.6
2021-03-26,7.2
2021-03-27,7.4
2021-03-28,6.9
2021-03-29,7.7
2021-03-30,8.5
2021-03-31,8.6
2021-04-01,10.2
2021-04-02,9.7
2021-04-03,6.4
2021-04-04,6.2
2021-04-05,6.2
2021-04-06,6.0
2021-04-07,6.2
2021-04-08,6.2
2021-04-09,6.6
2021-04-10,7.5
2021-04-11,8.4
2021-04-12,7.2
2021-04-13,7.1
2021-04-14,6.7
2021-04-15,7.0
2021-04-16,6.8
2021-04-17,6.6
2021-04-18,6.4
2021-04-19,7.0
2021-04-20,8.0
2021-04-21,8.9
2021-04-22,10.1
2021-04-23,9.8
2021-04-24,10.2
2021-04-25,10.4
2021-04-26,9.5
2021-04-27,7.7
2021-04-28,8.7
2021-04-29,10.4
2021-04-30,11.3
2021-05-01,9.6
2021-05-02,8.1
2021-05-03,10.6
2021-05-04,11.8
2021-05-05,9.6
2021-05-06,7.3
2021-05-07,9.8
2021-05-08,9.8
2021-05-09,11.8
2021-05-10,12.5
2021-05-11,11.4
2021-05-12,12.1
2021-05-13,11.2
2021-05-14,11.9
2021-05-15,12.4
2021-05-16,12.6
2021-05-17,12.4
2021-05-18,9.7
2021-05-19,10.1
2021-05-20,11.6
2021-05-21,12.2
2021-05-22,12.3
2021-05-23,11.9
2021-05-24,11.9
2021-05-25,11.8
2021-05-26,11.3
2021-05-27,11.3
2021-05-28,12.3
2021-05-29,12.2
2021-05-30,12.3
2021-05-31,12.2
2021-06-01,13.2
2021-06-02,14.5
2021-06-03,16.2
2021-06-04,16.6
2021-06-05,16.7
2021-06-06,16.4
2021-06-07,15.2
2021-06-08,15.0
2021-06-09,14.9
2021-06-10,16.4
2021-06-11,16.3
2021-06-12,17.2
2021-06-13,16.1
2021-06-14,16.3
2021-06-15,18.6
2021-06-16,19.6
2021-06-17,20.2
2021-06-18,20.8
2021-06-19,21.5
2021-06-20,19.7
2021-06-21,19.3
2021-06-22,20.5
2021-06-23,21.6
2021-06-24,20.9
2021-06-25,21.0
2021-06-26,21.0
2021-06-27,20.9
2021-06-28,21.2
2021-06-29,21.4
2021-06-30,19.5
2021-07-01,18.5
2021-07-02,20.6
2021-07-03,20.9
2021-07-04,20.7
2021-07-05,21.1
2021-07-06,20.8
2021-07-07,19.9
2021-07-08,19.9
2021-07-09,20.0
2021-07-10,19.1
2021-07-11,19.4
2021-07-12,19.2
2021-07-13,18.6
2021-07-14,18.9
2021-07-15,19.5
2021-07-16,18.3
2021-07-17,18.1
2021-07-18,18.0
2021-07-19,18.2
2021-07-20,18.1
2021-07-21,17.7
2021-07-22,18.8
2021-07-23,19.3
2021-07-24,19.6
2021-07-25,19.6
2021-07-26,19.8
2021-07-27,20.1
2021-07-28,19.9
2021-07-29,21.2
2021-07-30,21.0
2021-07-31,20.1
2021-08-01,18.3
2021-08-02,18.7
2021-08-03,19.1
2021-08-04,19.3
2021-08-05,19.5
2021-08-06,20.0
2021-08-07,19.5
2021-08-08,19.5
2021-08-09,19.5
2021-08-10,19.1
2021-08-11,19.2
2021-08-12,20.4
2021-08-13,21.1
2021-08-14,21.2
2021-08-15,21.9
2021-08-16,21.3
2021-08-17,18.6
2021-08-18,18.4
