Datum,Typ,Zone,Standort,Kurzbezeichnung,Parameter,Parametergruppe,Einheit,Bestimmungsgrenze_Nachweisgrenze,Messwert,Höchstwert
2023-01-03,Reservoire,Limmatzone,"Reservoir Höngg, Auslauf Kammer 1",R3721/15,Temperatur,Allgemeine Parameter,°C,,13.7,
2023-01-03,Reservoire,Limmatzone,"Reservoir Höngg, Auslauf Kammer 1",R3721/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,1.5,
2023-01-03,Reservoire,Limmatzone,"Reservoir Höngg, Auslauf Kammer 1",R3721/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,44033,
2023-01-03,Reservoire,Limmatzone,"Reservoir Höngg, Auslauf Kammer 2",R3722/15,Temperatur,Allgemeine Parameter,°C,,13.6,
2023-01-03,Reservoire,Limmatzone,"Reservoir Höngg, Auslauf Kammer 2",R3722/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,1.3,
2023-01-03,Reservoire,Limmatzone,"Reservoir Höngg, Auslauf Kammer 2",R3722/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,42306,
2023-01-03,Reservoire,Bergzone Waidberg,"Reservoir Waidberg, Auslauf Kammer 1",R3821/15,Temperatur,Allgemeine Parameter,°C,,10.9,
2023-01-03,Reservoire,Bergzone Waidberg,"Reservoir Waidberg, Auslauf Kammer 1",R3821/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,2.8,
2023-01-03,Reservoire,Bergzone Waidberg,"Reservoir Waidberg, Auslauf Kammer 1",R3821/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,35928,
2023-01-03,Reservoire,Bergzone Waidberg,"Reservoir Waidberg, Auslauf Kammer 2",R3822/15,Temperatur,Allgemeine Parameter,°C,,10.9,
2023-01-03,Reservoire,Bergzone Waidberg,"Reservoir Waidberg, Auslauf Kammer 2",R3822/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,3.2,
2023-01-03,Reservoire,Bergzone Waidberg,"Reservoir Waidberg, Auslauf Kammer 2",R3822/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,39733,
2023-01-03,Reservoire,Glattzone,"Reservoir Käferberg, Auslauf Kammer 1",R4124/15,Temperatur,Allgemeine Parameter,°C,,8.8,
2023-01-03,Reservoire,Glattzone,"Reservoir Käferberg, Auslauf Kammer 1",R4124/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,4.6,
2023-01-03,Reservoire,Glattzone,"Reservoir Käferberg, Auslauf Kammer 1",R4124/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,88567,
2023-01-03,Reservoire,Glattzone,"Reservoir Käferberg, Auslauf Kammer 2",R4125/15,Temperatur,Allgemeine Parameter,°C,,8.6,
2023-01-03,Reservoire,Glattzone,"Reservoir Käferberg, Auslauf Kammer 2",R4125/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,4.3,
2023-01-03,Reservoire,Glattzone,"Reservoir Käferberg, Auslauf Kammer 2",R4125/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,88372,
2023-01-03,Reservoire,Glattzone,"Reservoir Glaubten, Auslauf Kammer 1",R4221/15,Temperatur,Allgemeine Parameter,°C,,8.5,
2023-01-03,Reservoire,Glattzone,"Reservoir Glaubten, Auslauf Kammer 1",R4221/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,4.1,
2023-01-03,Reservoire,Glattzone,"Reservoir Glaubten, Auslauf Kammer 1",R4221/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,86544,
2023-01-03,Reservoire,Glattzone,"Reservoir Glaubten, Auslauf Kammer 2",R4222/15,Temperatur,Allgemeine Parameter,°C,,8.9,
2023-01-03,Reservoire,Glattzone,"Reservoir Glaubten, Auslauf Kammer 2",R4222/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,5.7,
2023-01-03,Reservoire,Glattzone,"Reservoir Glaubten, Auslauf Kammer 2",R4222/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,74978,
2023-01-03,Reservoire,Hangzone,"Reservoir Strickhof, Auslauf Kammer 1",R4621/15,Temperatur,Allgemeine Parameter,°C,,7.6,
2023-01-03,Reservoire,Hangzone,"Reservoir Strickhof, Auslauf Kammer 1",R4621/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,4.4,
2023-01-03,Reservoire,Hangzone,"Reservoir Strickhof, Auslauf Kammer 1",R4621/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,80239,
2023-01-03,Reservoire,Hangzone,"Reservoir Strickhof, Einlauf Stollen in Kammer 2",R4622/02,Temperatur,Allgemeine Parameter,°C,,7.6,
