Datum,Typ,Zone,Standort,Kurzbezeichnung,Parameter,Parametergruppe,Einheit,Bestimmungsgrenze_Nachweisgrenze,Messwert,Höchstwert,CleanedName,lat,lon
2023-01-03,Reservoire,Limmatzone,"Reservoir Höngg, Auslauf Kammer 1",R3721/15,Temperatur,Allgemeine Parameter,°C,,13.7,,Reservoir Höngg,,
2023-01-03,Reservoire,Limmatzone,"Reservoir Höngg, Auslauf Kammer 1",R3721/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,1.5,,Reservoir Höngg,,
2023-01-03,Reservoire,Limmatzone,"Reservoir Höngg, Auslauf Kammer 1",R3721/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500.0,44033.0,,Reservoir Höngg,,
2023-01-03,Reservoire,Limmatzone,"Reservoir Höngg, Auslauf Kammer 2",R3722/15,Temperatur,Allgemeine Parameter,°C,,13.6,,Reservoir Höngg,,
2023-01-03,Reservoire,Limmatzone,"Reservoir Höngg, Auslauf Kammer 2",R3722/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,1.3,,Reservoir Höngg,,
2023-01-03,Reservoire,Limmatzone,"Reservoir Höngg, Auslauf Kammer 2",R3722/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500.0,42306.0,,Reservoir Höngg,,
2023-01-03,Reservoire,Bergzone Waidberg,"Reservoir Waidberg, Auslauf Kammer 1",R3821/15,Temperatur,Allgemeine Parameter,°C,,10.9,,Reservoir Waidberg,47.40290225,8.51402519217839
2023-01-03,Reservoire,Bergzone Waidberg,"Reservoir Waidberg, Auslauf Kammer 1",R3821/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,2.8,,Reservoir Waidberg,47.40290225,8.51402519217839
2023-01-03,Reservoire,Bergzone Waidberg,"Reservoir Waidberg, Auslauf Kammer 1",R3821/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500.0,35928.0,,Reservoir Waidberg,47.40290225,8.51402519217839
2023-01-03,Reservoire,Bergzone Waidberg,"Reservoir Waidberg, Auslauf Kammer 2",R3822/15,Temperatur,Allgemeine Parameter,°C,,10.9,,Reservoir Waidberg,47.40290225,8.51402519217839
2023-01-03,Reservoire,Bergzone Waidberg,"Reservoir Waidberg, Auslauf Kammer 2",R3822/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,3.2,,Reservoir Waidberg,47.40290225,8.51402519217839
2023-01-03,Reservoire,Bergzone Waidberg,"Reservoir Waidberg, Auslauf Kammer 2",R3822/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500.0,39733.0,,Reservoir Waidberg,47.40290225,8.51402519217839
2023-01-03,Reservoire,Glattzone,"Reservoir Käferberg, Auslauf Kammer 1",R4124/15,Temperatur,Allgemeine Parameter,°C,,8.8,,Reservoir Käferberg,47.4036605,8.52299175722067
2023-01-03,Reservoire,Glattzone,"Reservoir Käferberg, Auslauf Kammer 1",R4124/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,4.6,,Reservoir Käferberg,47.4036605,8.52299175722067
2023-01-03,Reservoire,Glattzone,"Reservoir Käferberg, Auslauf Kammer 1",R4124/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500.0,88567.0,,Reservoir Käferberg,47.4036605,8.52299175722067
2023-01-03,Reservoire,Glattzone,"Reservoir Käferberg, Auslauf Kammer 2",R4125/15,Temperatur,Allgemeine Parameter,°C,,8.6,,Reservoir Käferberg,47.4036605,8.52299175722067
2023-01-03,Reservoire,Glattzone,"Reservoir Käferberg, Auslauf Kammer 2",R4125/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,4.3,,Reservoir Käferberg,47.4036605,8.52299175722067
2023-01-03,Reservoire,Glattzone,"Reservoir Käferberg, Auslauf Kammer 2",R4125/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500.0,88372.0,,Reservoir Käferberg,47.4036605,8.52299175722067
2023-01-03,Reservoire,Glattzone,"Reservoir Glaubten, Auslauf Kammer 1",R4221/15,Temperatur,Allgemeine Parameter,°C,,8.5,,Reservoir Glaubten,47.407548950000006,8.521892994503235
