Datum,Typ,Zone,Standort,Kurzbezeichnung,Parameter,Parametergruppe,Einheit,Bestimmungsgrenze_Nachweisgrenze,Messwert,Höchstwert,CleanedName,lat,lon
2023-01-03,Reservoire,Limmatzone,"Reservoir Höngg, Auslauf Kammer 1",R3721/15,Temperatur,Allgemeine Parameter,°C,,13.7,,Reservoir Höngg,,
2023-01-03,Reservoire,Limmatzone,"Reservoir Höngg, Auslauf Kammer 1",R3721/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,1.5,,Reservoir Höngg,,
2023-01-03,Reservoire,Limmatzone,"Reservoir Höngg, Auslauf Kammer 1",R3721/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500.0,44033.0,,Reservoir Höngg,,
2023-01-03,Reservoire,Limmatzone,"Reservoir Höngg, Auslauf Kammer 2",R3722/15,Temperatur,Allgemeine Parameter,°C,,13.6,,Reservoir Höngg,,
2023-01-03,Reservoire,Limmatzone,"Reservoir Höngg, Auslauf Kammer 2",R3722/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,1.3,,Reservoir Höngg,,
2023-01-03,Reservoire,Limmatzone,"Reservoir Höngg, Auslauf Kammer 2",R3722/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500.0,42306.0,,Reservoir Höngg,,
2023-01-10,Reservoire,Limmatzone,"Reservoir Frauental, Auslauf Kammer 2",R2522/15,Temperatur,Allgemeine Parameter,°C,,7.6,,Reservoir Frauental,,
2023-01-10,Reservoire,Limmatzone,"Reservoir Frauental, Auslauf Kammer 2",R2522/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,3.6,,Reservoir Frauental,,
2023-01-10,Reservoire,Limmatzone,"Reservoir Frauental, Auslauf Kammer 2",R2522/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500.0,22961.0,,Reservoir Frauental,,
2023-01-10,Reservoire,Limmatzone,"Reservoir Frauental, Auslauf Kammer 3",R2523/15,Temperatur,Allgemeine Parameter,°C,,7.7,,Reservoir Frauental,,
2023-01-10,Reservoire,Limmatzone,"Reservoir Frauental, Auslauf Kammer 3",R2523/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,3.2,,Reservoir Frauental,,
2023-01-10,Reservoire,Limmatzone,"Reservoir Frauental, Auslauf Kammer 3",R2523/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500.0,22611.0,,Reservoir Frauental,,
2023-01-10,Reservoire,Limmatzone,"Reservoir Frauental, Auslauf Kammer 4",R2524/15,Temperatur,Allgemeine Parameter,°C,,7.7,,Reservoir Frauental,,
2023-01-10,Reservoire,Limmatzone,"Reservoir Frauental, Auslauf Kammer 4",R2524/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,2.3,,Reservoir Frauental,,
2023-01-10,Reservoire,Limmatzone,"Reservoir Frauental, Auslauf Kammer 4",R2524/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500.0,17633.0,,Reservoir Frauental,,
2023-01-10,Reservoire,Limmatzone,"Reservoir Lyren, Auslauf Kammer 1",R3221/15,Temperatur,Allgemeine Parameter,°C,,8.1,,Reservoir Lyren,47.37964805,8.472921427503902
2023-01-10,Reservoire,Limmatzone,"Reservoir Lyren, Auslauf Kammer 1",R3221/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,32.9,,Reservoir Lyren,47.37964805,8.472921427503902
2023-01-10,Reservoire,Limmatzone,"Reservoir Lyren, Auslauf Kammer 1",R3221/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500.0,57056.0,,Reservoir Lyren,47.37964805,8.472921427503902
2023-01-10,Reservoire,Limmatzone,"Reservoir Lyren, Auslauf Kammer 2",R3222/15,Temperatur,Allgemeine Parameter,°C,,7.7,,Reservoir Lyren,47.37964805,8.472921427503902
2023-01-10,Reservoire,Limmatzone,"Reservoir Lyren, Auslauf Kammer 2",R3222/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,4.2,,Reservoir Lyren,47.37964805,8.472921427503902
2023-01-10,Reservoire,Limmatzone,"Reservoir Lyren, Auslauf Kammer 2",R3222/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500.0,20672.0,,Reservoir Lyren,47.37964805,8.472921427503902
