Datum,Standort,Kurzbezeichnung,Parameter,Parametergruppe,Einheit,Bestimmungsgrenze_Nachweisgrenze,Messwert,Richtwert,Höchstwert,CleanedName,lat,lon
2023-01-03,"Seewasserwerk Moos, Reinwasser",W0115/03,Temperatur,Allgemeine Parameter,°C,,8.7,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-01-03,"Seewasserwerk Moos, Reinwasser",W0115/03,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1.0,2.0,,300.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-01-03,"Seewasserwerk Moos, Reinwasser",W0115/03,E. coli,Biologische Parameter,KbE/100 mL,1.0,,,0.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-01-03,"Seewasserwerk Moos, Reinwasser",W0115/03,Enterokokken,Biologische Parameter,KbE/100 mL,1.0,,,0.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-01-03,"Seewasserwerk Moos, Reinwasser",W0115/04,Temperatur,Allgemeine Parameter,°C,,8.7,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-01-03,"Seewasserwerk Moos, Reinwasser",W0115/04,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1.0,1.0,,300.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-01-03,"Seewasserwerk Moos, Reinwasser",W0115/04,E. coli,Biologische Parameter,KbE/100 mL,1.0,,,0.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-01-03,"Seewasserwerk Moos, Reinwasser",W0115/04,Enterokokken,Biologische Parameter,KbE/100 mL,1.0,,,0.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-01-03,"Seewasserwerk Lengg, Reinwasser",W0215/03,Temperatur,Allgemeine Parameter,°C,,7.1,,,Seewasserwerk Lengg,47.3498459,8.572519284234765
2023-01-03,"Seewasserwerk Lengg, Reinwasser",W0215/03,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1.0,2.0,,300.0,Seewasserwerk Lengg,47.3498459,8.572519284234765
2023-01-03,"Seewasserwerk Lengg, Reinwasser",W0215/03,E. coli,Biologische Parameter,KbE/100 mL,1.0,,,0.0,Seewasserwerk Lengg,47.3498459,8.572519284234765
2023-01-03,"Seewasserwerk Lengg, Reinwasser",W0215/03,Enterokokken,Biologische Parameter,KbE/100 mL,1.0,,,0.0,Seewasserwerk Lengg,47.3498459,8.572519284234765
2023-01-03,"Seewasserwerk Lengg, Reinwasser",W0215/04,Temperatur,Allgemeine Parameter,°C,,7.1,,,Seewasserwerk Lengg,47.3498459,8.572519284234765
2023-01-03,"Seewasserwerk Lengg, Reinwasser",W0215/04,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1.0,3.0,,300.0,Seewasserwerk Lengg,47.3498459,8.572519284234765
2023-01-03,"Seewasserwerk Lengg, Reinwasser",W0215/04,E. coli,Biologische Parameter,KbE/100 mL,1.0,,,0.0,Seewasserwerk Lengg,47.3498459,8.572519284234765
2023-01-03,"Seewasserwerk Lengg, Reinwasser",W0215/04,Enterokokken,Biologische Parameter,KbE/100 mL,1.0,,,0.0,Seewasserwerk Lengg,47.3498459,8.572519284234765
2023-01-03,"Grundwasserwerk Hardhof, Reinwasser",W0305,Temperatur,Allgemeine Parameter,°C,,14.9,,,"Grundwasserwerk Hardhof, Reinwasser",,
2023-01-03,"Grundwasserwerk Hardhof, Reinwasser",W0305,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1.0,2.0,,300.0,"Grundwasserwerk Hardhof, Reinwasser",,
2023-01-03,"Grundwasserwerk Hardhof, Reinwasser",W0305,E. coli,Biologische Parameter,KbE/100 mL,1.0,,,0.0,"Grundwasserwerk Hardhof, Reinwasser",,
2023-01-03,"Grundwasserwerk Hardhof, Reinwasser",W0305,Enterokokken,Biologische Parameter,KbE/100 mL,1.0,,,0.0,"Grundwasserwerk Hardhof, Reinwasser",,
2023-01-06,"Seewasserwerk Moos, Reinwasser",W0115/03,Temperatur,Allgemeine Parameter,°C,,8.7,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-01-06,"Seewasserwerk Moos, Reinwasser",W0115/03,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1.0,1.0,,300.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-01-06,"Seewasserwerk Moos, Reinwasser",W0115/03,E. coli,Biologische Parameter,KbE/100 mL,1.0,,,0.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-01-06,"Seewasserwerk Moos, Reinwasser",W0115/03,Enterokokken,Biologische Parameter,KbE/100 mL,1.0,,,0.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-01-06,"Seewasserwerk Moos, Reinwasser",W0115/04,Temperatur,Allgemeine Parameter,°C,,8.8,,,Seewasserwerk Moos,47.33180605,8.531245451906134
